iter	Logloss
0	0.6832297347
1	0.67242509
2	0.6624400618
3	0.6532799586
4	0.6435670407
5	0.6357518875
6	0.6274613476
7	0.619585184
8	0.6128658062
9	0.6067160262
10	0.5998413539
11	0.5936609684
12	0.5876053746
13	0.5820639074
14	0.5770194096
15	0.5723586578
16	0.5670787164
17	0.5626404542
18	0.5575584411
19	0.5526937846
20	0.5489355497
21	0.5454741445
22	0.5416188763
23	0.5381187233
24	0.5351392076
25	0.5315426428
26	0.5280836071
27	0.5253417845
28	0.5220898004
29	0.5195689034
30	0.5168264827
31	0.5138447332
32	0.5111973142
33	0.5088107073
34	0.5068028199
35	0.5050033841
36	0.5028282645
37	0.5000047799
38	0.4981006967
39	0.4961832915
40	0.4944048036
41	0.4932011524
42	0.4919067441
43	0.4900369089
44	0.4888263333
45	0.4871956051
46	0.4860126412
47	0.4842000287
48	0.4830421533
49	0.4813322037
50	0.4799716809
51	0.4787691498
52	0.4772259939
53	0.4761841542
54	0.4753422397
55	0.4742858629
56	0.4727327058
57	0.4716849442
58	0.4704275399
59	0.4693541421
60	0.4679434496
61	0.4670325288
62	0.4662062817
63	0.4651530419
64	0.4641994115
65	0.4634704987
66	0.4625156961
67	0.4617414039
68	0.4609925245
69	0.4600110526
70	0.4594461364
71	0.4588163955
72	0.458063885
73	0.4573891311
74	0.4566823989
75	0.4558856136
76	0.4555317731
77	0.4546490335
78	0.4541223043
79	0.4535915176
80	0.4529247102
81	0.4521192024
82	0.4516550573
83	0.450975536
84	0.4503110469
85	0.4496261181
86	0.4484432451
87	0.4478728718
88	0.4471539399
89	0.4464539041
90	0.4457912801
91	0.4453490294
92	0.4447832789
93	0.4439636411
94	0.4434832591
95	0.4421170285
96	0.4411231321
97	0.4405052528
98	0.4394896631
99	0.4383492418
100	0.4376946693
101	0.4370148408
102	0.4366525556
103	0.4362699954
104	0.4359133917
105	0.435668295
106	0.4352150938
107	0.4345333449
108	0.4335708268
109	0.4332687017
110	0.4330503668
111	0.4326212694
112	0.4321434229
113	0.4319061935
114	0.4313124204
115	0.4308480066
116	0.4303938426
117	0.4301550895
118	0.4298713422
119	0.4295148637
120	0.4290545848
121	0.4279437613
122	0.4275649862
123	0.4269753639
124	0.4264378535
125	0.4261215437
126	0.4259220753
127	0.4253580228
128	0.4245710551
129	0.4243661235
130	0.4240372464
131	0.4237771632
132	0.423213396
133	0.4224254135
134	0.4220358549
135	0.4215026324
136	0.4209409986
137	0.4204234205
138	0.4201536833
139	0.4197594712
140	0.4195168599
141	0.4192454198
142	0.4184114948
143	0.4177842387
144	0.4176415588
145	0.4173173139
146	0.4170143324
147	0.4167590961
148	0.4164175257
149	0.416177835
150	0.4160099123
151	0.4156642224
152	0.4148844335
153	0.4145735951
154	0.4143075064
155	0.4138768053
156	0.4136677102
157	0.4133489294
158	0.4131855238
159	0.4122781787
160	0.412085384
161	0.4119464895
162	0.4112860285
163	0.4108443684
164	0.4106654369
165	0.4100707289
166	0.409731822
167	0.4095606617
168	0.4093353414
169	0.4091732827
170	0.4088134873
171	0.4085980729
172	0.4084276737
173	0.4081829261
174	0.4080542286
175	0.4078433063
176	0.4076421546
177	0.4071601755
178	0.4069571715
179	0.4067689175
180	0.4066473091
181	0.406126685
182	0.4058864239
183	0.4057142089
184	0.4056212371
185	0.4054604075
186	0.4052891317
187	0.4049210837
188	0.4046515433
189	0.4044789205
190	0.4042484492
191	0.4040265315
192	0.4037753462
193	0.4036172043
194	0.4032443646
195	0.4029580407
196	0.4027803616
197	0.4026054354
198	0.4024442782
199	0.4022695959
200	0.4019081458
201	0.4017188143
202	0.4015308757
203	0.4012878496
204	0.4011955083
205	0.4009887153
206	0.4007761505
207	0.4005828679
208	0.4001217351
209	0.3999009991
210	0.3997169066
211	0.399628436
212	0.399470112
213	0.3990413475
214	0.3988404657
215	0.3983786449
216	0.3981506763
217	0.3979394184
218	0.3974927198
219	0.3973307407
220	0.3971486816
221	0.396879246
222	0.3967263361
223	0.3965776468
224	0.3964127568
225	0.396154937
226	0.3958367803
227	0.3955584378
228	0.3954064193
229	0.3951326963
230	0.3950499662
231	0.394953253
232	0.3946057903
233	0.3942388186
234	0.3939785133
235	0.3935623969
236	0.3933714192
237	0.3931693742
238	0.393005073
239	0.3928005028
240	0.3927101197
241	0.3926074914
242	0.392458494
243	0.3923025027
244	0.3918044385
245	0.3916031445
246	0.3913286179
247	0.3909688775
248	0.3907338921
249	0.3904987244
250	0.3901425631
251	0.3899608894
252	0.3897873179
253	0.3897246739
254	0.3895669138
255	0.3893292303
256	0.3890474068
257	0.3888712075
258	0.3885977697
259	0.38852416
260	0.3883617717
261	0.3880199283
262	0.3877775821
263	0.3876316129
264	0.3875065448
265	0.3873579021
266	0.3871904742
267	0.3870558422
268	0.3869427785
